,Otu0028,Otu2770,Otu3524,Otu3645,Otu3808,Otu3831,Otu4164,Otu4390,Otu4431,Otu4578,Otu4626,Otu4706,Otu4727,Otu4820,Otu5222,Otu5238,Otu5313,Otu5315,Otu5320,Otu5330,Otu5442,Otu5484,Otu5502,Otu5584,Otu5711,Otu5714,Otu5886,Otu6047,Otu6080,Otu6090,Otu6101,Otu6154,Otu6161,Otu6188,Otu6210,Otu6231,Otu6245,Otu6277,Otu6377,Otu6390,Otu6404,Otu6532,Otu6544,Otu6573,Otu6602,Otu6684,Otu6697,Otu6736,Otu6744,Otu6747
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016306849294663656
0,,,,,,,,0.015845845759409297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,0.015395038155839905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015465568769137877,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0.015503024229128562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,0.014369423408553397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014342439549167635,,,,,,,
0,,,,,,,,,,,,,,,0.014098730565708564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0.014037552971715741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013607090981471696,,,,,,,,,,
0,0.01355178628206444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012819213377541704,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012781096659807997,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,0.01218363022841582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01269842138898706,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01226396889845617,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012158798599431631,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012448728728322738,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01211894399987846,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,0.012210400433535577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012529627833139823,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,0.012171925334937161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,0.012236518523937104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,0.012107482489837174,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012708475641982646,,,,,,,,,,,,,,,,,,,,,
